player,season,chance_of_playing_this_round,date,element
Jeffrey Schlupp,2020-21,100.0,05/04/2021,142
Jeff Hendrick,2020-21,100.0,04/04/2021,485
Jensen Weir,2020-21,100.0,04/04/2021,633
Jesse Lingard,2020-21,100.0,05/04/2021,301
Jimmy Dunne,2020-21,100.0,04/04/2021,519
Joachim Andersen,2020-21,100.0,04/04/2021,571
Joelinton Cássio Apolinário de Lira,2020-21,100.0,04/04/2021,340
Joel Matip,2020-21,,03/04/2021,246
Joel Mumbongo,2020-21,100.0,04/04/2021,613
Joel Ward,2020-21,100.0,05/04/2021,134
Joe Bryan,2020-21,100.0,04/04/2021,182
Joe Gelhardt,2020-21,100.0,03/04/2021,667
Joe Hart,2020-21,100.0,04/04/2021,482
Joe Rodon,2020-21,100.0,04/04/2021,584
Johann Berg Gudmundsson,2020-21,100.0,04/04/2021,90
John Egan,2020-21,25.0,03/04/2021,353
John Fleck,2020-21,100.0,03/04/2021,346
John Lundstram,2020-21,100.0,03/04/2021,355
John McGinn,2020-21,100.0,04/04/2021,38
John Ruddy,2020-21,100.0,05/04/2021,453
John Stones,2020-21,100.0,03/04/2021,273
Jonas Lössl,2020-21,,05/04/2021,151
Jonathan Castro Otto,2020-21,100.0,05/04/2021,462
Jonathan Leko,2020-21,,03/04/2021,420
Jonjoe Kenny,2020-21,,05/04/2021,160
Jonjo Shelvey,2020-21,100.0,04/04/2021,321
Jonny Evans,2020-21,100.0,03/04/2021,219
Jordan Ayew,2020-21,100.0,05/04/2021,140
Jordan Henderson,2020-21,,03/04/2021,244
Jordan Hugill,2020-21,,05/04/2021,444
Jordan Pickford,2020-21,,05/04/2021,157
Jordan Stevens,2020-21,,03/04/2021,212
Jorge Luiz Frello Filho,2020-21,100.0,03/04/2021,105
Joseph Gomez,2020-21,,03/04/2021,260
Joseph Willock,2020-21,100.0,04/04/2021,20
Joshua King,2020-21,100.0,05/04/2021,651
Josh Benson,2020-21,100.0,04/04/2021,535
Josh Brownhill,2020-21,100.0,04/04/2021,98
Josh Maja,2020-21,100.0,04/04/2021,665
Josh Onomah,2020-21,75.0,04/04/2021,188
Josh Sims,2020-21,,04/04/2021,374
José Diogo Dalot Teixeira,2020-21,,04/04/2021,314
José Ignacio Peleteiro Romallo,2020-21,,04/04/2021,34
José Izquierdo,2020-21,100.0,04/04/2021,72
João Filipe Iria Santos Moutinho,2020-21,75.0,05/04/2021,454
João Pedro Cavaco Cancelo,2020-21,100.0,03/04/2021,277
João Virgínia,2020-21,100.0,05/04/2021,167
Joël Veltman,2020-21,100.0,04/04/2021,67
Juan Foyth,2020-21,,04/04/2021,406
Juan Mata,2020-21,50.0,04/04/2021,290
Kaine Hayden,2020-21,100.0,04/04/2021,671
Kai Havertz,2020-21,100.0,03/04/2021,500
Kalvin Phillips,2020-21,100.0,03/04/2021,204
Kamil Grosicki,2020-21,100.0,03/04/2021,410
Kamil Miazek,2020-21,,03/04/2021,208
Karlan Grant,2020-21,100.0,03/04/2021,582
Karlo Ziger,2020-21,100.0,03/04/2021,593
Karl Darlow,2020-21,100.0,04/04/2021,325
Kasper Schmeichel,2020-21,100.0,03/04/2021,217
Kayne Ramsay,2020-21,100.0,04/04/2021,598
Kean Bryan,2020-21,100.0,03/04/2021,603
Keinan Davis,2020-21,100.0,04/04/2021,50
Kelechi Iheanacho,2020-21,100.0,03/04/2021,233
Kelland Watts,2020-21,,04/04/2021,342
Kenneth Zohore,2020-21,,03/04/2021,416
Kenny Tete,2020-21,100.0,04/04/2021,517
Kepa Arrizabalaga,2020-21,100.0,03/04/2021,112
Kevin De Bruyne,2020-21,100.0,03/04/2021,272
Kevin Long,2020-21,25.0,04/04/2021,85
Kevin McDonald,2020-21,,04/04/2021,172
Kgaogelo Chauke,2020-21,100.0,04/04/2021,624
Ki-Jana Hoever,2020-21,100.0,05/04/2021,545
Kieran Gibbs,2020-21,50.0,03/04/2021,407
Kieran Tierney,2020-21,100.0,03/04/2021,17
Konstantinos Tsimikas,2020-21,100.0,03/04/2021,242
Kortney Hause,2020-21,75.0,04/04/2021,39
Kurt Zouma,2020-21,100.0,03/04/2021,110
Kyle Bartley,2020-21,100.0,03/04/2021,412
Kyle Edwards,2020-21,100.0,03/04/2021,421
Kyle John,2020-21,100.0,05/04/2021,679
Kyle Walker-Peters,2020-21,100.0,04/04/2021,375
Kyle Walker,2020-21,100.0,03/04/2021,270
Kyron Gordon,2020-21,100.0,03/04/2021,646
Leander Dendoncker,2020-21,100.0,05/04/2021,464
Leandro Trossard,2020-21,100.0,04/04/2021,69
Lee Grant,2020-21,100.0,04/04/2021,604
Lee Peltier,2020-21,100.0,03/04/2021,600
Leif Davis,2020-21,100.0,03/04/2021,214
Leighton Clarkson,2020-21,100.0,03/04/2021,601
Leonardo Campana,2020-21,100.0,05/04/2021,476
Lewis Dunk,2020-21,100.0,04/04/2021,62
Lewis Richardson,2020-21,100.0,04/04/2021,592
Lewis Richards,2020-21,100.0,05/04/2021,615
Liam Cooper,2020-21,100.0,03/04/2021,195
Liam Delap,2020-21,100.0,03/04/2021,539
Liam Hughes,2020-21,100.0,03/04/2021,677
Lucas Digne,2020-21,100.0,05/04/2021,155
Lucas Rodrigues Moura da Silva,2020-21,100.0,04/04/2021,392
Lucas Torreira,2020-21,,03/04/2021,19
Lukasz Fabianski,2020-21,100.0,05/04/2021,431
Luka Milivojevic,2020-21,100.0,05/04/2021,138
Luke Ayling,2020-21,100.0,03/04/2021,197
Luke Cundle,2020-21,100.0,05/04/2021,614
Luke Freeman,2020-21,,03/04/2021,477
Luke Mbete,2020-21,100.0,03/04/2021,622
Luke Shaw,2020-21,100.0,04/04/2021,300
Luke Thomas,2020-21,100.0,03/04/2021,240
Lys Mousset,2020-21,100.0,03/04/2021,359
Léo Bonatini,2020-21,,05/04/2021,463
Mace Goodridge,2020-21,,04/04/2021,551
Mahmoud Ahmed Ibrahim Hassan,2020-21,100.0,04/04/2021,40
Mamadou Sakho,2020-21,,05/04/2021,127
Manuel Lanzini,2020-21,100.0,05/04/2021,439
Marcos Alonso,2020-21,100.0,03/04/2021,104
Marcos Rojo,2020-21,,04/04/2021,294
Marcus Bettinelli,2020-21,,04/04/2021,183
Marcus Rashford,2020-21,75.0,04/04/2021,306
Marc Albrighton,2020-21,100.0,03/04/2021,221
Marek Rodák,2020-21,25.0,04/04/2021,186
Mario Lemina,2020-21,100.0,04/04/2021,493
Mark Gillespie,2020-21,100.0,04/04/2021,488
Mark Noble,2020-21,100.0,05/04/2021,427
Martin Dubravka,2020-21,75.0,04/04/2021,326
Martin Kelly,2020-21,100.0,05/04/2021,135
Martin Ødegaard,2020-21,100.0,03/04/2021,645
Martín Montoya,2020-21,,04/04/2021,63
Marvelous Nakamba,2020-21,100.0,04/04/2021,44
Mason Greenwood,2020-21,75.0,04/04/2021,315
Mason Holgate,2020-21,100.0,05/04/2021,165
Mason Mount,2020-21,100.0,03/04/2021,120
Matej Vydra,2020-21,100.0,04/04/2021,93
Mateo Kovacic,2020-21,100.0,03/04/2021,107
Mateusz Bogusz,2020-21,,03/04/2021,533
Mateusz Klich,2020-21,50.0,03/04/2021,198
Matheus Pereira,2020-21,100.0,03/04/2021,481
Mathew Ryan,2020-21,100.0,03/04/2021,70
Matija Sarkic,2020-21,,05/04/2021,472
Matteo Guendouzi,2020-21,,03/04/2021,25
Matthew Cash,2020-21,100.0,04/04/2021,496
Matthew Clarke,2020-21,,04/04/2021,73
Matthew Longstaff,2020-21,100.0,04/04/2021,487
Matthew Lowton,2020-21,100.0,04/04/2021,92
Matty James,2020-21,,03/04/2021,222
Matt Doherty,2020-21,,04/04/2021,457
Matt Macey,2020-21,,03/04/2021,527
Matt Phillips,2020-21,100.0,03/04/2021,411
Matt Ritchie,2020-21,100.0,04/04/2021,322
Matt Targett,2020-21,100.0,04/04/2021,42
Maxime Le Marchand,2020-21,,04/04/2021,173
Max Kilman,2020-21,100.0,05/04/2021,470
Max Lowe,2020-21,100.0,03/04/2021,511
Max Meyer,2020-21,,05/04/2021,143
Max Sanders,2020-21,,04/04/2021,632
Max Thompson,2020-21,100.0,04/04/2021,591
Mbaye Diagne,2020-21,100.0,03/04/2021,648
Mbwana Samatta,2020-21,,04/04/2021,49
Meritan Shabani,2020-21,,05/04/2021,553
Mesut Özil,2020-21,,03/04/2021,1
Michael Hector,2020-21,100.0,04/04/2021,178
Michael Keane,2020-21,100.0,05/04/2021,156
Michael Obafemi,2020-21,,04/04/2021,381
Michael Verrips,2020-21,,03/04/2021,580
Michail Antonio,2020-21,100.0,05/04/2021,437
Michal Karbownik,2020-21,100.0,04/04/2021,663
Michy Batshuayi,2020-21,100.0,05/04/2021,108
Miguel Almirón,2020-21,100.0,04/04/2021,339
Mohamed Naser El Sayed Elneny,2020-21,100.0,03/04/2021,526
Mohamed Salah,2020-21,100.0,03/04/2021,254
Mohammed Salisu,2020-21,100.0,04/04/2021,479
Moise Kean,2020-21,,05/04/2021,169
Moisés Caicedo,2020-21,100.0,04/04/2021,664
Morgan Gibbs-White,2020-21,100.0,05/04/2021,473
Morgan Sanson,2020-21,100.0,04/04/2021,647
Moussa Djenepo,2020-21,100.0,04/04/2021,382
Moussa Sissoko,2020-21,100.0,04/04/2021,385
N'Golo Kanté,2020-21,,03/04/2021,113
Naby Keita,2020-21,100.0,03/04/2021,261
Nampalys Mendy,2020-21,100.0,03/04/2021,518
Nathaniel Clyne,2020-21,50.0,05/04/2021,577
Nathaniel Phillips,2020-21,100.0,03/04/2021,589
Nathan Aké,2020-21,100.0,03/04/2021,279
Nathan Bishop,2020-21,100.0,04/04/2021,686
Nathan Broadhead,2020-21,100.0,05/04/2021,680
Nathan Ferguson,2020-21,25.0,05/04/2021,145
Nathan Redmond,2020-21,100.0,04/04/2021,365
Nathan Tella,2020-21,100.0,04/04/2021,524
Nathan Trott,2020-21,100.0,05/04/2021,674
Neal Maupay,2020-21,100.0,04/04/2021,68
Neco Williams,2020-21,100.0,03/04/2021,264
Neeskens Kebano,2020-21,,04/04/2021,180
Neil Taylor,2020-21,100.0,04/04/2021,31
Nemanja Matic,2020-21,100.0,04/04/2021,295
Niall Huggins,2020-21,100.0,03/04/2021,619
Nick Pope,2020-21,100.0,04/04/2021,96
Nicolas Pépé,2020-21,100.0,03/04/2021,18
Nicolás Otamendi,2020-21,,03/04/2021,269
Niels Nkounkou,2020-21,100.0,05/04/2021,559
Nigel Lonwijk,2020-21,100.0,05/04/2021,629
Nélson Cabral Semedo,2020-21,100.0,05/04/2021,546
Odion Ighalo,2020-21,,04/04/2021,293
Okay Yokuslu,2020-21,100.0,03/04/2021,654
Ola Aina,2020-21,100.0,04/04/2021,562
Oleksandr Zinchenko,2020-21,100.0,03/04/2021,283
Oliver Burke,2020-21,100.0,03/04/2021,424
Oliver Casey,2020-21,100.0,03/04/2021,215
Oliver McBurnie,2020-21,100.0,03/04/2021,357
Oliver Norwood,2020-21,100.0,03/04/2021,349
Oliver Skipp,2020-21,,04/04/2021,404
Olivier Giroud,2020-21,100.0,03/04/2021,103
Ollie Watkins,2020-21,100.0,04/04/2021,514
Oluwasemilogo Adesewo Ibidapo Ajayi,2020-21,100.0,03/04/2021,419
Oriol Romeu Vidal,2020-21,,04/04/2021,364
Oskar Buur,2020-21,,05/04/2021,467
Owen Otasowie,2020-21,100.0,05/04/2021,581
Ozan Kabak,2020-21,100.0,03/04/2021,652
Pablo Fornals,2020-21,75.0,05/04/2021,450
Pablo Hernández Domínguez,2020-21,100.0,03/04/2021,193
Pablo Marí,2020-21,100.0,03/04/2021,10
Pascal Groß,2020-21,100.0,04/04/2021,57
Pascal Struijk,2020-21,100.0,03/04/2021,211
Patrick Bamford,2020-21,100.0,03/04/2021,202
Patrick Cutrone,2020-21,,05/04/2021,626
Patrick van Aanholt,2020-21,100.0,05/04/2021,139
Paulo Gazzaniga,2020-21,,04/04/2021,393
Paul Dummett,2020-21,100.0,04/04/2021,331
Paul Pogba,2020-21,100.0,04/04/2021,296
Pedro Lomba Neto,2020-21,100.0,05/04/2021,474
Percy Tau,2020-21,100.0,04/04/2021,627
Phil Bardsley,2020-21,100.0,04/04/2021,82
Phil Foden,2020-21,100.0,03/04/2021,284
Phil Jagielka,2020-21,100.0,03/04/2021,529
Phil Jones,2020-21,,04/04/2021,297
Pierre-Emerick Aubameyang,2020-21,100.0,03/04/2021,4
Pierre-Emile Højbjerg,2020-21,100.0,04/04/2021,396
Raheem Sterling,2020-21,100.0,03/04/2021,276
Raphael Dias Belloli,2020-21,100.0,03/04/2021,570
Rayan Ait Nouri,2020-21,100.0,05/04/2021,563
Raúl Jiménez,2020-21,,05/04/2021,460
Reda Khadra,2020-21,100.0,04/04/2021,630
Reece Hannam,2020-21,100.0,05/04/2021,675
Reece James,2020-21,100.0,03/04/2021,123
Reiss Nelson,2020-21,100.0,03/04/2021,21
Rekeem Harper,2020-21,,03/04/2021,426
Rhian Brewster,2020-21,100.0,03/04/2021,262
Rhys Williams,2020-21,100.0,03/04/2021,594
Ricardo Domingos Barbosa Pereira,2020-21,100.0,03/04/2021,226
Richard Nartey,2020-21,100.0,04/04/2021,658
Richarlison de Andrade,2020-21,100.0,05/04/2021,166
Riyad Mahrez,2020-21,100.0,03/04/2021,275
Robbie Brady,2020-21,,04/04/2021,95
Roberto Firmino,2020-21,100.0,03/04/2021,249
Roberto Jimenez Gago,2020-21,,05/04/2021,433
Robert Snodgrass,2020-21,100.0,03/04/2021,428
Robert Sánchez,2020-21,100.0,04/04/2021,597
Robin Koch,2020-21,100.0,03/04/2021,491
Robin Olsen,2020-21,100.0,05/04/2021,573
Rob Holding,2020-21,100.0,03/04/2021,16
Rodrigo Hernandez,2020-21,100.0,03/04/2021,286
Rodrigo Moreno,2020-21,100.0,03/04/2021,492
Rolando Aarons,2020-21,,04/04/2021,337
Romaine Sawyers,2020-21,100.0,03/04/2021,413
Romain Saïss,2020-21,100.0,05/04/2021,461
Ross Barkley,2020-21,100.0,04/04/2021,106
Ruben Loftus-Cheek,2020-21,100.0,04/04/2021,115
Rui Pedro dos Santos Patrício,2020-21,100.0,05/04/2021,455
Ryan Astley,2020-21,100.0,05/04/2021,681
Ryan Bennett,2020-21,,05/04/2021,456
Ryan Bertrand,2020-21,100.0,04/04/2021,362
Ryan Finnigan,2020-21,100.0,04/04/2021,655
Ryan Fraser,2020-21,100.0,04/04/2021,507
Ryan Fredericks,2020-21,100.0,05/04/2021,438
Ryan Inniss,2020-21,,05/04/2021,534
Ryan Sessegnon,2020-21,,04/04/2021,399
Rúben Diogo da Silva Neves,2020-21,100.0,05/04/2021,466
Rúben Gonçalo Silva Nascimento Vinagre,2020-21,,05/04/2021,471
Rúben Santos Gato Alves Dias,2020-21,100.0,03/04/2021,556
Rúnar Alex Rúnarsson,2020-21,100.0,03/04/2021,547
Sadio Mané,2020-21,100.0,03/04/2021,251
Sam Field,2020-21,,03/04/2021,423
Sam Johnstone,2020-21,100.0,03/04/2021,417
Sam Woods,2020-21,,05/04/2021,522
Sander Berge,2020-21,,03/04/2021,360
Saïd Benrahma,2020-21,100.0,05/04/2021,587
Scott Carson,2020-21,100.0,03/04/2021,608
Scott Dann,2020-21,100.0,05/04/2021,486
Scott McTominay,2020-21,100.0,04/04/2021,309
Sead Kolasinac,2020-21,,03/04/2021,14
Seamus Coleman,2020-21,100.0,05/04/2021,152
Sean Longstaff,2020-21,100.0,04/04/2021,480
Serge Aurier,2020-21,100.0,04/04/2021,389
Sergio Agüero,2020-21,100.0,03/04/2021,268
Sergio Reguilón,2020-21,100.0,04/04/2021,542
Sergio Romero,2020-21,,04/04/2021,289
Shane Duffy,2020-21,,04/04/2021,58
Shane Flynn,2020-21,100.0,03/04/2021,684
Shane Long,2020-21,,04/04/2021,361
Shkodran Mustafi,2020-21,,03/04/2021,7
Shola Shoretire,2020-21,100.0,04/04/2021,673
Sidnei Tavares,2020-21,100.0,03/04/2021,676
Simon Moore,2020-21,,03/04/2021,348
Sofiane Boufal,2020-21,,04/04/2021,372
Sokratis Papastathopoulos,2020-21,,03/04/2021,2
Solomon March,2020-21,,04/04/2021,65
Stefan Johansen,2020-21,,04/04/2021,174
Stephen Henderson,2020-21,100.0,05/04/2021,578
Steven Alzate,2020-21,100.0,04/04/2021,79
Steven Bergwijn,2020-21,100.0,04/04/2021,400
Stuart Armstrong,2020-21,100.0,04/04/2021,368
Stuart Dallas,2020-21,100.0,03/04/2021,200
Sébastien Haller,2020-21,,05/04/2021,441
Tahith Chong,2020-21,,04/04/2021,316
Takumi Minamino,2020-21,100.0,04/04/2021,258
Tammy Abraham,2020-21,100.0,03/04/2021,118
Tanguy Ndombele,2020-21,100.0,04/04/2021,405
Tariq Lamptey,2020-21,,04/04/2021,77
Taylor Harwood-Bellis,2020-21,,03/04/2021,623
Taylor Perry,2020-21,100.0,05/04/2021,611
Teddy Jenks,2020-21,100.0,04/04/2021,631
Teden Mengi,2020-21,,04/04/2021,319
Terence Kongolo,2020-21,100.0,04/04/2021,585
Thakgalo Leshabela,2020-21,100.0,03/04/2021,661
Thanawat Suengchitthawon,2020-21,,03/04/2021,687
Theo Corbeanu,2020-21,100.0,05/04/2021,610
Theo Walcott,2020-21,75.0,04/04/2021,148
Thiago Alcántara do Nascimento,2020-21,100.0,03/04/2021,531
Thiago Thiago,2020-21,100.0,03/04/2021,490
Thomas McGill,2020-21,100.0,04/04/2021,662
Thomas Partey,2020-21,100.0,03/04/2021,567
Timothy Castagne,2020-21,100.0,03/04/2021,498
Timothy Fosu-Mensah,2020-21,,04/04/2021,312
Timo Werner,2020-21,100.0,03/04/2021,117
Tim Ream,2020-21,100.0,04/04/2021,176
Toby Alderweireld,2020-21,100.0,04/04/2021,386
Tomas Soucek,2020-21,100.0,05/04/2021,449
Tommy Doyle,2020-21,100.0,03/04/2021,285
Tom Cairney,2020-21,,04/04/2021,175
Tom Davies,2020-21,75.0,05/04/2021,163
Tom Heaton,2020-21,100.0,04/04/2021,28
Tosin Adarabioyo,2020-21,100.0,04/04/2021,572
Trent Alexander-Arnold,2020-21,100.0,03/04/2021,259
Tyler Onyango,2020-21,100.0,05/04/2021,644
Tyler Roberts,2020-21,100.0,03/04/2021,206
Tyrick Mitchell,2020-21,75.0,05/04/2021,146
Tyrone Mings,2020-21,100.0,04/04/2021,41
Vicente Guaita,2020-21,100.0,05/04/2021,128
Victor Lindelöf,2020-21,50.0,04/04/2021,308
Virgil van Dijk,2020-21,,03/04/2021,250
Vitor Ferreira,2020-21,100.0,05/04/2021,515
Vladimir Coufal,2020-21,100.0,05/04/2021,558
Vontae Daley-Campbell,2020-21,100.0,03/04/2021,660
Wayne Hennessey,2020-21,100.0,05/04/2021,126
Wesley Fofana,2020-21,100.0,03/04/2021,561
Wesley Moraes,2020-21,25.0,04/04/2021,48
Wes Foderingham,2020-21,100.0,03/04/2021,350
Wes Morgan,2020-21,75.0,03/04/2021,216
Wilfred Ndidi,2020-21,100.0,03/04/2021,236
Wilfried Zaha,2020-21,100.0,05/04/2021,141
William Saliba,2020-21,,03/04/2021,27
William Smallbone,2020-21,,04/04/2021,379
Willian José Da Silva,2020-21,100.0,05/04/2021,642
Willian Borges Da Silva,2020-21,75.0,03/04/2021,478
Willy Boly,2020-21,100.0,05/04/2021,458
Willy Caballero,2020-21,100.0,03/04/2021,101
Will Ferry,2020-21,100.0,04/04/2021,634
Will Norris,2020-21,100.0,04/04/2021,583
Xherdan Shaqiri,2020-21,100.0,03/04/2021,247
Yan Valery,2020-21,,04/04/2021,378
Yerry Mina,2020-21,100.0,05/04/2021,162
Yoshinori Muto,2020-21,,04/04/2021,341
Youri Tielemans,2020-21,100.0,03/04/2021,228
Yves Bissouma,2020-21,100.0,04/04/2021,76
Zack Steffen,2020-21,100.0,03/04/2021,538
Zak Brunt,2020-21,100.0,03/04/2021,657
Zeze Steven Sessegnon,2020-21,,04/04/2021,192
Çaglar Söyüncü,2020-21,100.0,03/04/2021,238
Ørjan Nyland,2020-21,,04/04/2021,35
Aaron Connolly,2020-21,50.0,12/04/2021,78
Aaron Cresswell,2020-21,100.0,11/04/2021,435
Aaron Mooy,2020-21,,12/04/2021,60
Aaron Ramsdale,2020-21,100.0,11/04/2021,483
Aaron Wan-Bissaka,2020-21,100.0,11/04/2021,313
Abdoulaye Doucouré,2020-21,,12/04/2021,512
Aboubakar Kamara,2020-21,,09/04/2021,190
Adama Traoré,2020-21,100.0,09/04/2021,465
Adam Forshaw,2020-21,,10/04/2021,199
Adam Lallana,2020-21,100.0,12/04/2021,54
Adam Webster,2020-21,75.0,12/04/2021,66
Ademipo Odubeko,2020-21,100.0,11/04/2021,638
Ademola Lookman,2020-21,75.0,09/04/2021,557
Adrien Silva,2020-21,,11/04/2021,220
Adrián Bernabé,2020-21,100.0,10/04/2021,537
Adrián San Miguel del Castillo,2020-21,100.0,10/04/2021,245
Ahmed El-Sayed Hegazy,2020-21,,12/04/2021,414
Ahmed El Mohamady,2020-21,100.0,10/04/2021,29
Ainsley Maitland-Niles,2020-21,100.0,12/04/2021,15
Albian Ajeti,2020-21,,11/04/2021,447
Aleksandar Mitrović,2020-21,100.0,09/04/2021,184
Alex Nicolao Telles,2020-21,100.0,11/04/2021,568
Alexandre Jankewitz,2020-21,100.0,12/04/2021,643
Alexandre Lacazette,2020-21,100.0,11/04/2021,6
Alexis Mac Allister,2020-21,100.0,12/04/2021,80
Alex Iwobi,2020-21,75.0,12/04/2021,159
Alex McCarthy,2020-21,100.0,12/04/2021,363
Alex Oxlade-Chamberlain,2020-21,100.0,10/04/2021,248
Alfie Devine,2020-21,100.0,11/04/2021,650
Alfie Mawson,2020-21,,09/04/2021,185
Alireza Jahanbakhsh,2020-21,100.0,12/04/2021,71
Alisson Ramses Becker,2020-21,100.0,10/04/2021,252
Allan Marques Loureiro,2020-21,75.0,12/04/2021,502
Allan Saint-Maximin,2020-21,100.0,11/04/2021,338
Allan Tchaptchet,2020-21,100.0,12/04/2021,635
Alphonse Areola,2020-21,100.0,09/04/2021,516
Amad Diallo,2020-21,100.0,11/04/2021,640
Andi Zeqiri,2020-21,100.0,12/04/2021,574
Andreas Christensen,2020-21,100.0,10/04/2021,116
Andreas Pereira,2020-21,,11/04/2021,304
Andreas Söndergaard,2020-21,100.0,09/04/2021,617
Andrew Robertson,2020-21,100.0,10/04/2021,255
Andriy Yarmolenko,2020-21,,11/04/2021,436
Andros Townsend,2020-21,100.0,10/04/2021,137
André Filipe Tavares Gomes,2020-21,75.0,12/04/2021,158
André-Frank Zambo Anguissa,2020-21,100.0,09/04/2021,191
Andy Carroll,2020-21,75.0,11/04/2021,320
Andy Lonergan,2020-21,100.0,12/04/2021,639
Angelo Ogbonna,2020-21,,11/04/2021,432
Angus Gunn,2020-21,,12/04/2021,371
Anthony Driscoll-Glennon,2020-21,100.0,11/04/2021,536
Anthony Gordon,2020-21,,12/04/2021,168
Anthony Knockaert,2020-21,,09/04/2021,177
Anthony Mancini,2020-21,100.0,11/04/2021,612
Anthony Martial,2020-21,,11/04/2021,303
Antonee Robinson,2020-21,100.0,09/04/2021,484
Antonio Rüdiger,2020-21,100.0,10/04/2021,109
Antwoine Hackford,2020-21,100.0,11/04/2021,618
Anwar El Ghazi,2020-21,100.0,10/04/2021,45
Arthur Masuaku,2020-21,100.0,11/04/2021,442
Ashley Barnes,2020-21,,11/04/2021,87
Ashley Westwood,2020-21,100.0,11/04/2021,89
Axel Tuanzebe,2020-21,100.0,11/04/2021,307
Aymeric Laporte,2020-21,100.0,10/04/2021,280
Ayoze Pérez,2020-21,100.0,11/04/2021,229
Bailey Peacock-Farrell,2020-21,100.0,11/04/2021,99
Bamidele Alli,2020-21,100.0,11/04/2021,394
Barry Douglas,2020-21,,10/04/2021,196
Benjamin Chilwell,2020-21,100.0,10/04/2021,232
Benjamin Mendy,2020-21,100.0,10/04/2021,274
Ben Davies,2020-21,,11/04/2021,395
Ben Davies,2020-21,,11/04/2021,653
Ben Davies,2020-21,100.0,10/04/2021,395
Ben Davies,2020-21,100.0,10/04/2021,653
Ben Gibson,2020-21,,11/04/2021,94
Ben Godfrey,2020-21,100.0,12/04/2021,566
Ben Johnson,2020-21,100.0,11/04/2021,452
Ben Mee,2020-21,100.0,11/04/2021,88
Ben Osborn,2020-21,100.0,11/04/2021,356
Ben White,2020-21,100.0,12/04/2021,74
Bernardo Mota Veiga de Carvalho e Silva,2020-21,100.0,10/04/2021,281
Bernardo Fernandes da Silva Junior,2020-21,,12/04/2021,75
Bernard Anício Caldeira Duarte,2020-21,,12/04/2021,154
Bernd Leno,2020-21,100.0,11/04/2021,8
Bertrand Traoré,2020-21,100.0,10/04/2021,540
Billy Gilmour,2020-21,100.0,10/04/2021,124
Billy Sharp,2020-21,,11/04/2021,343
Bjorn Engels,2020-21,100.0,10/04/2021,36
Bobby Decordova-Reid,2020-21,100.0,09/04/2021,181
Bobby Thomas,2020-21,,11/04/2021,520
Brandon Pierrick,2020-21,,10/04/2021,147
Brandon Williams,2020-21,100.0,11/04/2021,318
Branislav Ivanovic,2020-21,,12/04/2021,530
Bruno André Cavaco Jordao,2020-21,,09/04/2021,475
Bruno Miguel Borges Fernandes,2020-21,100.0,11/04/2021,302
Bukayo Saka,2020-21,100.0,11/04/2021,24
Caleb Watts,2020-21,100.0,12/04/2021,636
Callum Hudson-Odoi,2020-21,100.0,10/04/2021,122
Callum Robinson,2020-21,100.0,12/04/2021,358
Callum Wilson,2020-21,50.0,11/04/2021,506
Calum Chambers,2020-21,100.0,11/04/2021,13
Cameron Carter-Vickers,2020-21,,11/04/2021,521
Caoimhin Kelleher,2020-21,,10/04/2021,560
Carlos Vinicius Alves Morais,2020-21,100.0,11/04/2021,564
Carney Chukwuemeka,2020-21,100.0,10/04/2021,672
Cedric Kipre,2020-21,,12/04/2021,499
Cengiz Ünder,2020-21,,11/04/2021,541
Cenk Tosun,2020-21,,12/04/2021,153
Charlie Austin,2020-21,,12/04/2021,415
Charlie Cresswell,2020-21,100.0,10/04/2021,620
Charlie Taylor,2020-21,100.0,11/04/2021,97
Cheikhou Kouyaté,2020-21,100.0,10/04/2021,133
Cheikh Diaby,2020-21,100.0,12/04/2021,621
Che Adams,2020-21,100.0,12/04/2021,377
Christian Atsu,2020-21,,11/04/2021,330
Christian Benteke,2020-21,100.0,10/04/2021,132
Christian Fuchs,2020-21,100.0,11/04/2021,218
Christian Marques,2020-21,100.0,09/04/2021,616
Christian Pulisic,2020-21,100.0,10/04/2021,119
Christian Walton,2020-21,100.0,12/04/2021,503
Chris Basham,2020-21,25.0,11/04/2021,345
Chris Smalling,2020-21,,11/04/2021,292
Chris Wood,2020-21,100.0,11/04/2021,91
Ciaran Clark,2020-21,100.0,11/04/2021,324
Claudio Bravo,2020-21,,10/04/2021,267
Claudio Gomes,2020-21,100.0,10/04/2021,659
Cole Palmer,2020-21,100.0,10/04/2021,552
Connor Wickham,2020-21,100.0,10/04/2021,136
Conor Coady,2020-21,100.0,09/04/2021,459
Conor Coventry,2020-21,100.0,11/04/2021,668
Conor Gallagher,2020-21,100.0,12/04/2021,544
Conor Hourihane,2020-21,,10/04/2021,33
Conor Townsend,2020-21,100.0,12/04/2021,418
Craig Dawson,2020-21,100.0,11/04/2021,576
Curtis Jones,2020-21,100.0,10/04/2021,263
Cyrus Christie,2020-21,,09/04/2021,179
Cédric Soares,2020-21,100.0,11/04/2021,5
César Azpilicueta,2020-21,100.0,10/04/2021,102
Dale Stephens,2020-21,100.0,11/04/2021,55
Dane Scarlett,2020-21,100.0,11/04/2021,666
Daniel Amartey,2020-21,100.0,11/04/2021,227
Daniel Castelo Podence,2020-21,100.0,09/04/2021,469
Daniel Ceballos Fernández,2020-21,100.0,11/04/2021,501
Daniel James,2020-21,100.0,11/04/2021,311
